id,name,lat,lng,baseline,city,osm_id,osm_name,osm_lat,osm_lng,osm_distance_m,match_confidence
franco-manca-preston,Franco Manca (Preston),53.7595,-2.7037,7,Preston,way/81404517,Trinity Preston,53.7563482,-2.7030788,353,0.38
mowgli-preston,Mowgli Street Food (Preston),53.7594,-2.7041,7,Preston,node/5169371354,Lune Street Fish and Chips,53.7592101,-2.7031608,65,0.44
nandos-preston,Nando's (Preston),53.7597,-2.7050,7,Preston,node/11948944275,Nando's,53.7589329,-2.6995421,369,0.62
turtle-bay-preston,Turtle Bay (Preston),53.7598,-2.7036,7,Preston,node/4407506899,Turtle Bay,53.7585703,-2.6990411,329,0.62
wagamama-preston,Wagamama (Preston),53.7596,-2.7042,7,Preston,node/12857547366,Wagamama,53.7608403,-2.6996489,329,0.50
five-guys-southport,Five Guys (Southport),53.6469,-3.0071,7,Southport,node/3793945338,Southport Food Centre,53.6492266,-3.0054983,279,0.38
mcdonalds-southport,McDonald's (Southport),53.6475,-3.0080,6,Southport,node/526924406,Maloney's Bar,53.6474931,-3.0075373,31,0.53
nandos-southport,Nando's (Southport),53.6466,-3.0068,7,Southport,node/526924406,Maloney's Bar,53.6474931,-3.0075373,111,0.53
wagamama-southport,Wagamama (Southport),53.6467,-3.0064,7,Southport,node/3793945338,Southport Food Centre,53.6492266,-3.0054983,287,0.38
five-guys-warrington,Five Guys (Warrington),53.3913,-2.5960,7,Warrington,node/12866297686,Patina Warrington,53.3879071,-2.5985453,413,0.38
mcdonalds-warrington,McDonald's (Warrington),53.3920,-2.5978,6,Warrington,way/972915908,McDonald's,53.3884956,-2.5935273,482,0.62
nandos-warrington,Nando's (Warrington),53.3910,-2.5964,7,Warrington,way/972674217,Nando's,53.3894937,-2.5940592,228,0.62
turtle-bay-warrington,Turtle Bay (Warrington),53.3912,-2.5969,7,Warrington,node/12866297686,Patina Warrington,53.3879071,-2.5985453,382,0.38
wagamama-warrington,Wagamama (Warrington),53.3916,-2.5956,7,Warrington,node/12866297686,Patina Warrington,53.3879071,-2.5985453,455,0.50
